,title,profit,prod_budget,dom_gross,world_gross,genres,director,writer,runtime_min,release_date
0,10 000 b c,164065678,105000000,94784201,269065678,['None'],[nan],[nan],,2008-03-07
1,10 cloverfield lane,103286422,5000000,72082999,108286422,"['Mystery', 'Thriller', 'Horror', 'Science Fiction', 'Drama']",['Dan Trachtenberg'],"['Josh Campbell', 'Matthew Stuecken', 'Damien Chazelle']",103.0,2016-03-11
2,10 days in a madhouse,-11985384,12000000,14616,14616,"['None', 'Drama']",['Timothy Hines'],['Timothy Hines'],111.0,2015-11-11
3,10 things i hate about you,47413950,13000000,38177966,60413950,['None'],[nan],[nan],,1999-03-31
4,102 dalmatians,-18058441,85000000,66941559,66941559,['None'],[nan],[nan],,2000-11-22
5,10th wolf,-7856218,8000000,54702,143782,['None'],[nan],[nan],,2006-08-18
6,11 14,-6000000,6000000,0,0,['None'],[nan],[nan],,2005-08-12
7,12 angry men,-340000,340000,0,0,['None'],[nan],[nan],,1957-04-13
8,12 monkeys,139841459,29000000,57141459,168841459,['None'],[nan],[nan],,1995-12-27
9,12 rounds,-2693352,20000000,12234694,17306648,['None'],[nan],[nan],,2009-03-27
10,12 strong,36118378,35000000,45819713,71118378,"['Action', 'War', 'Drama', 'History']",['Nicolai Fuglsig'],"['Peter Craig', 'Doug Stanton', 'Ted Tally']",130.0,2018-01-19
11,12 years a slave,161025343,20000000,56671993,181025343,"['History', 'Drama', 'None', 'Biography']",['Steve McQueen'],"['Solomon Northup', 'John Ridley']",134.0,2013-10-18
12,127 hours,42217171,18000000,18335230,60217171,"['Adventure', 'Biography', 'Thriller', 'Drama']",['Danny Boyle'],"['Aron Ralston', 'Danny Boyle', 'Simon Beaufoy']",94.0,2010-11-05
13,13 going on 30,60658712,37000000,57139723,97658712,['None'],[nan],[nan],,2004-04-23
14,13 hours the secret soldiers of benghazi,19411370,50000000,52853219,69411370,"['War', 'None', 'History', 'Thriller', 'Drama', 'Action']",[nan],[nan],,2016-01-15
15,13 sins,-3952448,4000000,9134,47552,"['Thriller', 'Horror']",['Daniel Stamm'],"['Chookiat Sakveerakul', 'Daniel Stamm', 'David Birke', 'Eakasit Thairaat']",93.0,2014-04-18
16,1408,108763370,22500000,71985628,131263370,['None'],[nan],[nan],,2007-06-22
17,15 minutes,14331864,42000000,24375436,56331864,['None'],[nan],[nan],,2001-03-09
18,16 blocks,20595141,45000000,36895141,65595141,['None'],[nan],[nan],,2006-03-03
19,16 to life,-988426,1000000,11574,11574,['None'],[nan],[nan],,2010-09-03
20,1612,-6599376,12000000,0,5400624,['None'],[nan],[nan],,2009-04-07
21,17 again,99474906,40000000,64167069,139474906,['None'],[nan],[nan],,2009-04-17
22,1776,-4000000,4000000,0,0,['None'],[nan],[nan],,1972-11-09
23,1941,62875000,32000000,34175000,94875000,"['Comedy', 'None']",[nan],[nan],,1979-12-14
24,1982,-1000000,1000000,0,0,['None'],[nan],[nan],,2016-03-01
25,2 13,-3500000,3500000,0,0,['None'],[nan],[nan],,2011-06-28
26,2 fast 2 furious,160410607,76000000,127120058,236410607,['None'],[nan],[nan],,2003-06-06
27,2 for the money,10491379,20000000,22991379,30491379,['None'],[nan],[nan],,2005-10-07
28,2 guns,71493015,61000000,75612460,132493015,"['Action', 'Comedy', 'Crime']",['Baltasar Kormákur'],"['Blake Masters', 'Steven Grant']",109.0,2013-08-02
29,20 000 leagues under the sea,23200000,5000000,28200000,28200000,['None'],[nan],[nan],,1954-12-23
30,20 dates,536920,66000,541636,602920,['None'],[nan],[nan],,1999-02-26
31,20 feet from stardom,4892466,1000000,4946250,5892466,"['Documentary', 'Music']",['Morgan Neville'],['Morgan Neville'],91.0,2013-06-14
32,200 cigarettes,852450,6000000,6852450,6852450,['None'],[nan],[nan],,1999-02-26
33,2001 a space odyssey,61428046,10500000,59936321,71928046,['None'],[nan],[nan],,1968-04-02
34,2012,557677748,200000000,166112167,757677748,['None'],[nan],[nan],,2009-11-13
35,2016 obamaâ s america,30849941,2500000,33349941,33349941,['None'],[nan],[nan],,2012-07-13
36,2046,7287485,12000000,1442338,19287485,['None'],[nan],[nan],,2005-08-05
37,21,124846429,35000000,81159365,159846429,['None'],[nan],[nan],,2008-03-28
38,21 and over,29195766,13000000,25682380,42195766,['None'],[nan],[nan],,2013-03-01
39,21 grams,39667625,20000000,16248701,59667625,['None'],[nan],[nan],,2003-11-21
40,21 jump street,160812429,42000000,138447667,202812429,"['Action', 'Crime', 'Comedy', 'None']","['Phil Lord', 'Christopher Miller']","['Patrick Hasburgh', 'Stephen J. Cannell', 'Michael Bacall', 'Jonah Hill']",109.0,2012-03-16
41,22 jump street,281333876,50000000,191719337,331333876,"['Action', 'Crime', 'Comedy']","['Phil Lord', 'Christopher Miller']","['Patrick Hasburgh', 'Stephen J. Cannell', 'Michael Bacall', 'Oren Uziel', 'Rodney Rothman', 'Jonah Hill']",112.0,2014-06-13
42,23 blast,-450815,1000000,549185,549185,"['Family', 'Sport', 'Drama']",['Dylan Baker'],"['Toni Hoover', 'Bram Hoover']",98.0,2014-10-24
43,24 7 twenty four seven,-1927456,2000000,72544,72544,['None'],[nan],[nan],,1998-04-15
44,25th hour,20844490,4500000,13084595,25344490,['None'],[nan],[nan],,2002-12-19
45,27 dresses,130247805,30000000,76808654,160247805,['None'],[nan],[nan],,2008-01-18
46,28 days,19063972,43000000,37035515,62063972,['None'],[nan],[nan],,2000-04-14
47,28 days laterâ,74955633,8000000,45064915,82955633,['None'],[nan],[nan],,2003-06-27
48,28 weeks later,49232714,15000000,28638916,64232714,['None'],[nan],[nan],,2007-05-11
49,3,-6904508,7200000,59774,295492,['None'],[nan],[nan],,2011-09-16
50,3 10 to yuma,23171825,48000000,53606916,71171825,['None'],[nan],[nan],,2007-09-07
51,3 backyards,-260525,300000,39475,39475,['None'],[nan],[nan],,2011-03-11
52,3 days to kill,10959900,28000000,30697999,38959900,"['Action', 'Thriller', 'None', 'Drama']",['McG'],"['Luc Besson', 'Adi Hasak']",117.0,2014-02-21
53,3 men and a baby,152780960,15000000,167780960,167780960,['None'],[nan],[nan],,1987-11-25
54,3 ninjas kick back,-8255040,20000000,11744960,11744960,['None'],[nan],[nan],,1994-05-06
55,3 strikes,5821335,4000000,9821335,9821335,['None'],[nan],[nan],,2000-03-01
56,30 days of night,50276156,30000000,39568996,80276156,['None'],[nan],[nan],,2007-10-19
57,30 minutes or less,12966716,28000000,37053924,40966716,"['Action', 'Adventure', 'Crime', 'Comedy']",['Ruben Fleischer'],"['Michael Diliberti', 'Matthew Sullivan']",83.0,2011-08-12
58,30 nights of paranormal activity with the devil inside the girl with the dragon tattoo,-3000000,3000000,0,0,['Comedy'],['Craig Moss'],['Craig Moss'],80.0,2013-01-15
59,300,394161935,60000000,210614939,454161935,['None'],[nan],[nan],,2007-03-09
60,300 rise of an empire,220780051,110000000,106580051,330780051,"['Action', 'War', 'Fantasy']",['Noam Murro'],"['Kurt Johnstad', 'Zack Snyder', 'Frank Miller']",102.0,2014-03-07
61,3000 miles to graceland,-43291152,62000000,15738632,18708848,['None'],[nan],[nan],,2001-02-23
62,31,-577273,1500000,779820,922727,"['Thriller', 'Mystery', 'Horror']",['Rob Zombie'],['Rob Zombie'],102.0,2016-10-21
63,355,-75000000,75000000,0,0,['None'],[nan],[nan],,2019-12-31
64,4 11,-250000,250000,0,0,['None'],[nan],[nan],,2015-01-01
65,4 luni 3 saptamani si 2 zile,11093156,900000,1196321,11993156,['None'],[nan],[nan],,2008-01-25
66,40 days and 40 nights,78092667,17000000,37939782,95092667,['None'],[nan],[nan],,2002-03-01
67,40 weeks,-900000,900000,0,0,['None'],[nan],[nan],,2014-12-31
68,42,66470701,31000000,95020213,97470701,"['Biography', 'Sport', 'Drama']",['Brian Helgeland'],['Brian Helgeland'],128.0,2013-04-12
69,42nd street,1842000,439000,1438000,2281000,['None'],[nan],[nan],,1933-03-09
70,47 ronin,-23283185,175000000,38362475,151716815,"['Action', 'Adventure', 'Fantasy', 'Drama']",['Carl Rinsch'],"['Walter Hamada', 'Chris Morgan', 'Hossein Amini']",128.0,2013-12-25
71,5 days of war,-11912207,12000000,17479,87793,"['Action', 'War', 'None', 'Drama']",['Renny Harlin'],"['David Battle', 'Mikko Alanne']",113.0,2011-08-19
72,50 50,33334735,8000000,35016118,41334735,"['Romance', 'Comedy', 'Drama']",['Jonathan Levine'],['Will Reiser'],100.0,2011-09-30
73,50 first dates,121320329,75000000,120776832,196320329,['None'],[nan],[nan],,2004-02-13
74,50 to 1,-8930546,10000000,1069454,1069454,"['Comedy', 'Drama']",['Jim Wilson'],"['Faith Conroy', 'Jim Wilson']",110.0,2014-03-21
75,500 days of summer,26939060,7500000,32425665,34439060,['None'],[nan],[nan],,2009-07-17
76,51 birch street,-265311,350000,84689,84689,['None'],[nan],[nan],,2006-10-18
77,54,3757163,13000000,16757163,16757163,['None'],[nan],[nan],,1998-08-28
78,55 days at peking,-7000000,17000000,10000000,10000000,['None'],[nan],[nan],,1963-05-29
79,8 days,-2500000,2500000,0,0,['None'],[nan],[nan],,2015-10-13
80,8 femmes,34376425,8000000,3076425,42376425,['None'],[nan],[nan],,2002-09-20
81,8 heads in a duffel bag,1002884,3000000,3602884,4002884,['None'],[nan],[nan],,1997-04-18
82,8 mile,204768384,41000000,116724075,245768384,['None'],[nan],[nan],,2002-11-08
83,8 million ways to die,-16694886,18000000,1305114,1305114,['None'],[nan],[nan],,1986-04-25
84,8 the mormon proposition,-2399720,2500000,100280,100280,"['Documentary', 'None']","['Reed Cowan', 'Steven Greenstreet']",['Reed Cowan'],80.0,2010-06-18
85,88 minutes,2955399,30000000,16930884,32955399,['None'],[nan],[nan],,2008-04-18
86,8mm,56398826,40000000,36443442,96398826,['None'],[nan],[nan],,1999-02-26
87,9,18559999,30000000,31749894,48559999,['None'],[nan],[nan],,2009-09-09
88,90 minutes in heaven,-183858,5000000,4816142,4816142,['Drama'],['Michael Polish'],"['Cecil Murphey', 'Michael Polish', 'Don Piper']",121.0,2015-09-11
89,a bad moms christmas,99710550,28000000,72110659,127710550,"['Adventure', 'Comedy']","['Jon Lucas', 'Scott Moore']","['Jon Lucas', 'Scott Moore']",104.0,2017-11-01
90,a beautiful mind,239668058,78000000,170708996,317668058,['None'],[nan],[nan],,2001-12-21
91,a better life,-8115749,10000000,1759252,1884251,"['Romance', 'Drama']","['Chris Weitz', 'Cédric Kahn']","['Eric Eason', 'Catherine Paillé', 'Cédric Kahn', 'Roger L. Simon']",98.0,2011-06-24
92,a bridge too far,24800000,26000000,50800000,50800000,['None'],[nan],[nan],,1977-06-15
93,a bug s life,318095319,45000000,162798565,363095319,['None'],[nan],[nan],,1998-11-20
94,a c o r n s operation crackdown,-7146713,8500000,0,1353287,['None'],[nan],[nan],,2016-11-01
95,a charlie brown christmas,-150000,150000,0,0,['None'],[nan],[nan],,2009-10-06
96,a christmas story,17355209,3250000,20605209,20605209,['None'],[nan],[nan],,1983-11-18
97,a cinderella story,51164105,19000000,51438175,70164105,['None'],[nan],[nan],,2004-07-16
98,a civil action,-3290019,60000000,56709981,56709981,['None'],[nan],[nan],,1998-12-25
99,a dangerous method,-5192469,20000000,5702083,14807531,"['Romance', 'Biography', 'Thriller', 'Drama']",['David Cronenberg'],"['John Kerr', 'Christopher Hampton']",99.0,2011-11-23
100,a dog of flanders,-4834363,7000000,2165637,2165637,['None'],[nan],[nan],,1999-08-27
101,a dog s breakfast,-120000,120000,0,0,['None'],[nan],[nan],,2007-12-31
102,a dogâ s purpose,178671625,25000000,64321890,203671625,['None'],[nan],[nan],,2017-01-27
103,a dogâ s way home,20149689,61000000,41952715,81149689,['None'],[nan],[nan],,2019-01-11
104,a farewell to arms,6017403,5000000,11000000,11017403,['None'],[nan],[nan],,1957-12-14
105,a few best men,2224539,15000000,0,17224539,['None'],[nan],[nan],,2015-05-05
106,a few good men,203500000,33000000,141340178,236500000,['None'],[nan],[nan],,1992-12-11
107,a fine step,-1000000,1000000,0,0,"['None', 'Drama']",['Jonathan Meyers'],"['Keith Suggs', 'Gregory Gieras', 'Dennis Sonnenschein']",111.0,2014-06-24
108,a funny thing happened on the way to the forum,-2000000,2000000,0,0,['None'],[nan],[nan],,1966-10-16
109,a ghost story,2669782,100000,1594798,2769782,"['Romance', 'Fantasy', 'Drama']",['David Lowery'],['David Lowery'],92.0,2017-07-07
110,a good day to die hard,212249198,92000000,67349198,304249198,"['Action', 'Thriller']",['John Moore'],"['Skip Woods', 'Roderick Thorp']",98.0,2013-02-14
111,a good year,7064105,35000000,7459300,42064105,['None'],[nan],[nan],,2006-11-10
112,a guy named joe,2736000,2627000,5363000,5363000,['None'],[nan],[nan],,1943-12-24
113,a guy thing,-2569406,20000000,15543862,17430594,['None'],[nan],[nan],,2003-01-17
114,a hard day s night,1066784,560000,1537860,1626784,['None'],[nan],[nan],,1964-08-11
115,a haunted house,57422558,2500000,40041683,59922558,"['Fantasy', 'Comedy', 'Horror']",['Michael Tiddes'],"['Rick Alvarez', 'Marlon Wayans']",86.0,2013-01-11
116,a haunted house 2,17206861,4000000,17329487,21206861,"['Fantasy', 'Comedy', 'Horror']",['Michael Tiddes'],"['Rick Alvarez', 'Marlon Wayans']",86.0,2014-04-18
